Country,City,Lat,Lnt,Temperature,Max_Temp,Humidity,Cloudiness,Wind_Speed
id,poso,-1.3959,120.7524,87.33,87.33,61,65,5.59
ar,ushuaia,-54.8,-68.3,44.6,44.6,70,20,9.22
br,montanha,-18.1269,-40.3633,70.65,70.65,96,4,3.2
ru,sangar,63.9242,127.4739,-40.67,-40.67,79,99,6.38
au,busselton,-33.65,115.3333,74.46,75.99,42,1,5.99
ca,iqaluit,63.7506,-68.5145,-0.4,-0.4,71,75,16.11
in,dhilwan,31.5169,75.35,50.07,50.07,47,0,3.13
pf,atuona,-9.8,-139.0333,77.9,77.9,80,80,17.47
cd,lubao,14.9167,120.55,83.34,84.2,51,40,10.36
jp,wakkanai,45.4094,141.6739,35.6,35.6,87,75,20.71
za,east london,-33.0153,27.9116,69.8,69.8,100,90,2.3
za,saldanha,-33.0117,17.9442,62.6,62.6,77,0,2.3
cn,dongsheng,39.8161,109.9776,25.47,25.47,66,0,15.17
za,hermanus,-34.4187,19.2345,70.0,70.0,88,70,4.0
re,saint-philippe,-21.3585,55.7679,75.63,80.6,83,90,2.3
kz,lisakovsk,52.5369,62.4936,-12.1,-12.1,90,94,4.83
ru,dikson,73.5069,80.5464,-13.88,-13.88,90,34,7.36
cv,ponta do sol,32.6667,-17.1,52.03,57.2,58,75,5.75
ar,san pedro,14.35,121.0167,79.66,81.0,73,90,5.75
cn,hami,42.8,93.45,23.11,23.11,74,86,5.1
us,hilo,19.7297,-155.09,70.92,75.2,78,40,4.61
us,englewood,39.6478,-104.9878,36.1,37.99,44,20,5.75
sj,longyearbyen,78.2186,15.6401,24.8,24.8,74,90,10.36
ly,darnah,32.767,22.6367,56.93,56.93,70,47,23.78
nz,bluff,-46.6,168.3333,62.67,62.67,76,8,12.24
bm,hamilton,39.1834,-84.5333,29.64,30.99,69,1,9.22
to,vaini,-21.2,-175.2,84.2,84.2,79,75,9.22
ki,butaritari,3.0707,172.7902,81.43,81.43,80,78,19.22
za,cape town,-33.9258,18.4232,70.56,71.6,73,0,12.66
sc,victoria,22.2855,114.1577,59.43,62.01,26,0,4.61
ao,namibe,-15.1961,12.1522,71.55,71.55,75,96,4.76
sh,jamestown,42.097,-79.2353,26.2,27.0,100,90,7.14
so,qandala,11.472,49.8728,72.05,72.05,53,0,6.15
ec,puerto ayora,-0.7393,-90.3518,75.0,75.0,93,53,1.01
is,husavik,66.0449,-17.3389,12.2,12.2,85,0,4.61
de,schwarzenbek,53.5,10.4833,34.65,35.01,98,93,12.75
cn,erenhot,43.6475,111.9767,3.78,3.78,87,100,2.39
au,albany,42.6001,-73.9662,29.71,30.99,76,92,3.2
gl,qaanaaq,77.484,-69.3632,6.71,6.71,90,100,3.53
au,hobart,-42.8794,147.3294,82.02,86.0,38,40,14.97
se,ostersund,63.1792,14.6357,17.6,17.6,93,90,11.5
sl,goderich,43.7501,-81.7165,32.0,32.0,86,100,12.66
sa,buraydah,26.326,43.975,41.0,41.0,93,0,4.61
